Title,Year,Genre,Director,Cast1,Cast2,IMDB
Psycho,1960,Horror,Alfred Hitchcock,Anthony Perkins,Janet Leigh,8.5
The Hustler,1961,Drama,Robert Rossen,Paul Newman,Jackie Gleason,8
In the Heat of the Night,1967,Crime,Norman Jewison,Sidney Poitier,Rod Steiger,8
To Kill a Mockingbird,1962,Drama,Robert Mulligan,Gregory Peck,John Megna,8.3
Goin' Down the Road,1970,Drama,Donald Shebib,Doug McGrath,Paul Bradley,7.5
Annie Hall,1977,Comedy,Woody Allen,Woody Allen,Diane Keaton,8.1
Halloween,1978,Horror,John Carpenter,Jamie Lee Curtis,Donald Pleasence,7.8
Alien,1979,Sci Fi,Ridley Scott,Sigourney Weaver,Tom Skerritt,8.5
Vampires,1998,Horror,John Carpenter,James Woods,Daniel Baldwin,6.1
Minority Report,2002,Sci Fi,Steven Spielberg,Tom Cruise,Colin Farrell,7.7